id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
751,Location 751,19,2,47.08,66.0,1,5,119.51,61.0,1,155,1
752,Location 752,20,1,1.78,67.7,1,2,355.74,79.3,1,160,6
753,Location 753,25,1,26.62,47.9,3,4,103.5,68.4,2,696,1
754,Location 754,18,3,24.07,83.8,2,2,280.89,69.3,3,266,3
755,Location 755,15,4,33.15,82.6,6,4,134.09,50.0,2,168,1
756,Location 756,9,2,28.42,71.2,6,3,478.25,88.3,2,145,1
757,Location 757,17,1,34.66,44.9,3,5,24.03,56.7,2,186,3
758,Location 758,14,2,33.25,36.8,2,1,107.87,75.1,1,423,2
759,Location 759,15,4,6.73,34.5,3,5,128.73,71.1,3,457,6
760,Location 760,1,4,40.19,71.5,6,4,212.89,58.7,3,345,1
761,Location 761,21,5,7.04,87.8,1,1,124.04,58.9,1,554,6
762,Location 762,22,4,35.23,90.1,4,5,250.76,65.3,3,516,5
763,Location 763,22,3,21.39,62.5,7,1,437.51,82.4,2,104,6
764,Location 764,3,1,26.18,84.9,2,4,358.91,75.9,3,247,2
765,Location 765,16,5,45.26,96.3,5,3,294.18,63.5,1,23,2
766,Location 766,23,3,44.6,49.3,5,3,53.61,64.0,3,525,1
767,Location 767,25,2,41.07,57.9,1,5,350.06,80.3,1,144,3
768,Location 768,11,1,26.0,95.2,3,2,91.54,54.8,2,695,2
769,Location 769,12,4,37.08,53.7,3,4,395.32,91.4,1,193,3
770,Location 770,10,1,26.13,94.0,6,5,132.53,50.0,3,465,5
771,Location 771,16,2,43.61,98.7,1,5,214.35,57.5,2,375,3
772,Location 772,8,5,20.74,76.3,6,3,181.73,64.2,3,677,4
773,Location 773,6,5,48.54,87.2,6,1,430.82,84.2,1,692,3
774,Location 774,12,5,46.68,82.5,5,4,72.01,53.7,2,629,2
775,Location 775,24,4,37.34,79.0,6,1,287.17,73.2,1,266,3
776,Location 776,21,3,14.69,51.5,7,4,79.61,55.6,3,378,3
777,Location 777,8,3,7.45,34.0,6,2,355.35,95.0,1,550,4
778,Location 778,26,1,42.88,54.0,5,3,453.49,92.8,3,556,4
779,Location 779,4,4,9.1,76.7,7,2,222.96,60.3,3,74,1
780,Location 780,26,5,42.86,37.2,3,5,249.17,84.2,2,438,2
781,Location 781,8,5,25.05,30.8,2,3,464.44,95.0,2,226,1
782,Location 782,26,2,20.92,39.8,4,5,265.29,84.0,1,308,4
783,Location 783,18,2,45.26,80.1,6,2,248.92,61.6,3,348,3
784,Location 784,5,5,30.59,98.1,7,4,293.38,62.4,3,476,4
785,Location 785,9,5,29.25,98.8,2,5,347.72,72.9,2,315,5
786,Location 786,4,4,28.38,64.6,5,1,62.37,61.4,2,525,3
787,Location 787,22,3,19.19,90.9,2,4,412.34,82.6,2,425,1
788,Location 788,17,2,39.5,81.6,4,4,223.4,69.3,2,524,3
789,Location 789,9,3,13.39,65.1,2,2,45.45,61.3,1,562,5
790,Location 790,1,4,47.01,70.1,7,2,395.23,79.5,1,249,4
791,Location 791,21,5,44.81,39.6,2,3,194.71,79.2,1,631,2
792,Location 792,20,3,17.54,95.6,2,3,59.18,50.0,1,569,6
793,Location 793,13,5,36.74,54.6,2,1,320.55,82.1,2,182,2
794,Location 794,16,5,29.09,61.2,1,4,441.26,91.2,1,106,2
795,Location 795,13,1,17.54,77.0,6,1,445.0,86.2,1,191,4
796,Location 796,14,3,49.44,53.4,5,1,479.26,95.0,1,137,2
797,Location 797,3,3,2.24,47.8,4,2,435.18,95.0,2,700,5
798,Location 798,6,5,13.38,74.2,5,1,11.05,50.0,3,120,4
799,Location 799,18,4,26.48,31.7,1,1,196.32,75.6,2,72,2
800,Location 800,19,1,26.58,80.5,1,5,411.09,79.3,3,131,6
801,Location 801,5,5,29.86,66.0,7,3,189.46,61.7,3,457,1
802,Location 802,15,2,37.83,72.4,1,3,304.76,79.8,1,479,4
803,Location 803,25,2,31.55,74.2,6,4,307.1,69.4,1,52,4
804,Location 804,2,1,30.41,66.9,1,3,188.86,74.1,1,574,3
805,Location 805,10,4,3.62,70.8,2,4,453.19,85.7,2,119,2
806,Location 806,24,5,19.45,77.9,5,5,256.58,71.7,2,264,1
807,Location 807,18,3,12.37,82.7,3,3,237.74,68.3,1,239,6
808,Location 808,13,1,14.0,80.9,4,5,498.78,91.4,2,351,5
809,Location 809,5,4,28.16,90.9,1,3,251.82,63.4,2,255,4
810,Location 810,23,3,10.78,43.3,5,3,97.42,73.0,3,685,5
811,Location 811,24,2,15.4,58.1,7,5,261.4,72.5,2,309,5
812,Location 812,1,2,12.62,96.3,1,1,408.87,78.4,3,607,5
813,Location 813,22,3,47.48,57.8,6,1,390.66,87.1,1,495,3
814,Location 814,1,1,47.29,38.7,1,1,396.41,89.8,2,57,5
815,Location 815,18,2,30.89,66.8,1,1,356.93,83.1,3,403,2
816,Location 816,15,5,46.3,37.7,1,3,134.57,62.2,2,67,2
817,Location 817,17,3,39.5,44.2,7,2,432.42,86.4,3,46,1
818,Location 818,11,3,29.91,99.9,1,5,447.79,82.9,3,606,1
819,Location 819,21,2,1.32,67.9,4,2,105.13,61.2,2,650,6
820,Location 820,26,1,38.85,49.9,5,2,73.92,62.4,1,369,5
821,Location 821,25,5,35.42,99.6,6,4,488.05,79.7,3,605,5
822,Location 822,22,1,31.15,97.7,1,1,435.48,83.0,1,232,3
823,Location 823,17,4,38.26,60.9,1,3,447.69,92.1,2,402,5
824,Location 824,13,4,26.13,48.2,1,1,444.32,95.0,2,561,5
825,Location 825,1,2,35.5,88.7,1,1,275.43,64.9,1,23,5
826,Location 826,2,2,46.82,80.1,2,2,326.74,77.0,2,574,4
827,Location 827,9,2,19.41,78.1,2,4,277.23,71.6,3,267,4
828,Location 828,3,4,35.7,92.5,3,1,35.09,50.0,1,118,3
829,Location 829,1,1,24.31,78.3,1,5,375.3,84.3,2,600,3
830,Location 830,21,1,34.05,49.9,3,5,257.61,81.6,2,601,2
831,Location 831,16,2,38.38,78.6,4,1,327.38,75.0,1,55,3
832,Location 832,23,5,3.23,51.4,3,2,256.29,72.7,3,153,6
833,Location 833,6,1,32.68,83.1,5,2,250.99,69.4,1,239,2
834,Location 834,17,4,12.11,73.4,2,3,94.18,54.1,2,265,5
835,Location 835,5,3,33.83,35.4,2,4,146.57,69.8,2,268,3
836,Location 836,5,3,23.95,65.9,1,2,87.84,54.5,1,113,6
837,Location 837,6,3,38.9,54.0,1,3,105.88,58.3,3,166,3
838,Location 838,3,5,7.05,53.0,4,5,486.76,95.0,3,668,3
839,Location 839,21,2,31.69,72.2,6,5,85.03,50.0,3,8,2
840,Location 840,23,4,14.65,52.6,4,5,141.94,69.7,1,217,2
841,Location 841,5,5,42.8,84.4,5,1,299.39,67.2,3,431,1
842,Location 842,21,4,46.49,35.0,1,4,308.99,86.2,3,292,2
843,Location 843,5,4,49.82,76.2,1,3,85.45,50.0,3,50,2
844,Location 844,10,2,40.0,86.6,4,4,398.92,74.1,3,107,4
845,Location 845,10,3,37.93,77.1,4,1,394.75,77.0,2,9,3
846,Location 846,19,2,11.56,64.8,4,3,126.29,72.7,1,700,2
847,Location 847,17,5,17.46,96.5,2,3,151.45,60.5,1,456,3
848,Location 848,21,5,23.82,51.0,3,2,469.61,94.8,3,323,3
849,Location 849,14,5,38.9,31.3,3,4,414.58,95.0,1,309,4
850,Location 850,9,2,45.83,60.2,1,4,351.92,90.7,1,622,3
851,Location 851,14,4,10.27,32.3,2,2,50.29,62.1,2,145,6
852,Location 852,1,4,46.2,96.8,4,5,214.95,61.6,1,412,2
853,Location 853,19,1,35.09,44.7,1,1,284.06,86.6,2,114,3
854,Location 854,13,5,30.93,85.2,2,4,101.83,61.9,1,575,1
855,Location 855,13,4,10.79,84.2,5,2,229.63,68.4,2,399,1
856,Location 856,4,1,3.72,45.2,6,3,304.5,81.6,2,275,4
857,Location 857,1,4,28.85,73.5,2,2,170.41,61.1,1,124,6
858,Location 858,17,5,32.92,33.4,7,5,392.66,93.4,2,86,2
859,Location 859,8,3,11.33,63.9,1,1,421.82,94.4,2,582,4
860,Location 860,2,5,28.27,31.0,3,5,168.57,79.9,1,47,1
861,Location 861,8,2,42.97,94.5,7,3,420.94,71.2,2,201,6
862,Location 862,7,4,41.92,98.3,4,3,60.75,50.0,2,276,2
863,Location 863,26,4,46.44,45.6,6,3,420.49,90.1,2,549,3
864,Location 864,26,2,18.93,44.6,5,3,84.85,60.5,2,130,2
865,Location 865,2,2,16.58,82.8,6,2,50.63,50.0,2,448,5
866,Location 866,22,3,37.72,47.7,6,3,324.47,85.4,3,389,2
867,Location 867,22,4,22.12,92.7,2,3,241.25,68.5,2,576,3
868,Location 868,3,4,5.29,70.2,1,2,454.87,89.1,2,263,5
869,Location 869,18,3,14.86,54.6,1,3,187.96,74.3,2,632,6
870,Location 870,12,1,21.51,88.3,6,5,150.7,53.2,2,278,4
871,Location 871,1,3,15.33,64.5,4,5,255.36,70.3,1,46,6
872,Location 872,22,5,17.28,93.8,1,4,233.41,59.7,3,168,2
873,Location 873,12,4,15.4,95.0,6,5,178.77,59.3,1,445,4
874,Location 874,5,2,3.03,41.6,1,1,349.93,89.8,3,622,2
875,Location 875,25,5,32.22,30.2,4,1,382.19,89.8,2,46,1
876,Location 876,17,4,30.27,98.9,5,1,427.96,83.4,2,540,1
877,Location 877,16,3,33.02,93.4,7,2,486.7,76.9,3,87,3
878,Location 878,15,5,10.42,33.9,6,5,140.66,68.4,3,385,6
879,Location 879,23,4,15.49,88.3,3,1,360.89,86.1,1,669,1
880,Location 880,15,1,31.36,62.0,3,4,203.19,63.4,3,265,5
881,Location 881,5,1,30.38,48.1,6,2,341.77,74.6,2,22,5
882,Location 882,21,2,25.81,91.5,2,4,243.23,69.3,1,450,2
883,Location 883,14,4,18.17,43.8,5,5,496.95,95.0,3,232,4
884,Location 884,2,1,45.73,96.3,2,3,367.16,66.5,3,186,5
885,Location 885,11,3,17.65,44.4,7,4,476.72,95.0,1,326,2
886,Location 886,19,4,23.33,73.0,3,3,419.14,84.9,3,183,4
887,Location 887,7,3,34.23,45.6,4,2,452.42,95.0,2,397,1
888,Location 888,6,3,27.61,68.2,6,4,409.07,87.6,1,481,2
889,Location 889,2,1,18.0,77.9,7,4,234.99,63.7,3,403,4
890,Location 890,6,4,22.35,43.3,1,2,133.38,70.1,2,463,3
891,Location 891,18,5,39.93,66.5,3,2,191.46,66.2,3,417,6
892,Location 892,2,1,14.63,62.8,5,1,19.92,52.4,1,202,6
893,Location 893,18,1,7.97,35.0,3,5,266.76,83.1,3,65,3
894,Location 894,15,4,16.34,87.3,5,4,257.48,65.3,3,555,5
895,Location 895,19,4,42.63,53.5,5,4,267.37,69.2,3,17,6
896,Location 896,2,3,5.36,70.2,6,2,487.28,87.9,2,183,4
897,Location 897,20,4,49.59,66.0,5,2,456.61,88.3,2,391,3
898,Location 898,25,3,27.51,65.9,2,5,89.24,50.0,3,44,5
899,Location 899,6,1,49.26,37.5,7,2,190.75,71.5,3,700,2
900,Location 900,1,2,47.01,59.6,4,3,217.74,73.5,1,482,2
901,Location 901,24,5,23.19,61.7,3,3,186.66,67.9,3,263,4
902,Location 902,15,1,10.73,81.4,4,3,401.26,81.7,1,174,4
903,Location 903,23,4,9.08,88.8,7,3,266.78,67.1,2,441,4
904,Location 904,10,5,12.76,68.1,1,5,290.33,73.9,3,566,6
905,Location 905,19,2,35.8,36.1,7,4,427.98,95.0,1,220,4
906,Location 906,17,2,14.37,46.6,3,3,404.9,95.0,2,558,3
907,Location 907,5,3,17.73,41.5,4,2,74.78,66.3,1,394,3
908,Location 908,4,5,22.99,38.7,4,3,359.82,89.4,2,195,5
909,Location 909,10,3,45.75,55.6,6,5,223.36,64.1,3,409,3
910,Location 910,24,1,10.28,46.1,6,2,154.38,71.4,1,471,6
911,Location 911,17,5,1.25,45.3,7,3,34.51,53.8,3,347,2
912,Location 912,10,1,3.94,33.8,7,4,248.75,83.4,1,462,5
913,Location 913,17,3,45.33,31.2,1,2,184.16,70.5,2,61,3
914,Location 914,20,5,32.73,37.2,5,2,133.24,69.6,1,166,4
915,Location 915,24,3,14.38,42.1,3,4,350.39,95.0,1,672,3
916,Location 916,5,5,9.68,60.2,6,2,387.05,77.1,3,151,1
917,Location 917,2,3,15.42,65.7,3,3,129.95,55.4,3,111,5
918,Location 918,6,2,6.63,39.8,1,2,34.23,67.4,3,488,6
919,Location 919,21,3,47.14,59.7,6,3,425.89,86.5,2,549,3
920,Location 920,2,2,39.43,53.9,6,4,14.88,50.0,3,3,3
921,Location 921,13,3,23.66,42.8,5,1,469.19,95.0,1,483,6
922,Location 922,11,5,43.38,30.5,3,4,317.53,81.3,2,13,2
923,Location 923,11,5,13.22,62.7,3,3,167.7,61.4,3,162,4
924,Location 924,16,5,36.14,78.0,3,5,130.77,61.3,1,344,4
925,Location 925,11,4,42.95,45.8,5,4,14.41,63.3,1,449,2
926,Location 926,19,1,18.48,39.2,6,5,125.38,67.7,2,332,2
927,Location 927,15,5,38.12,92.1,1,5,77.49,50.2,1,264,1
928,Location 928,25,2,15.46,49.3,3,3,309.96,74.2,3,83,6
929,Location 929,23,5,15.64,45.7,4,3,91.61,66.8,1,334,5
930,Location 930,23,4,6.25,90.0,5,1,269.03,68.1,3,380,4
931,Location 931,16,2,22.56,87.2,2,2,299.16,67.3,3,219,2
932,Location 932,11,4,36.76,61.4,1,4,156.04,69.8,2,658,2
933,Location 933,22,2,47.07,64.2,4,3,27.18,53.3,1,454,6
934,Location 934,16,3,30.59,45.2,3,4,28.25,60.9,2,673,5
935,Location 935,8,1,43.29,35.5,2,5,22.91,55.9,2,89,2
936,Location 936,4,1,41.3,70.1,1,2,372.17,82.6,2,333,1
937,Location 937,8,4,9.49,36.9,5,1,165.82,74.8,3,310,5
938,Location 938,4,1,24.81,61.4,2,4,400.19,89.9,3,420,1
939,Location 939,24,4,6.73,95.8,6,2,221.55,62.3,3,609,3
940,Location 940,25,4,34.43,96.7,7,1,231.97,55.4,3,354,4
941,Location 941,3,4,47.55,46.8,2,4,261.31,82.7,1,100,2
942,Location 942,3,1,7.72,73.7,7,2,359.39,76.7,1,145,5
943,Location 943,18,4,36.96,63.2,4,3,144.02,59.0,3,10,1
944,Location 944,26,1,31.98,91.3,1,4,69.58,50.0,3,44,4
945,Location 945,19,4,29.6,49.0,4,2,282.47,87.1,1,386,4
946,Location 946,19,5,20.12,30.3,4,1,170.22,80.7,2,495,2
947,Location 947,21,4,18.4,41.4,3,2,226.82,79.7,2,493,4
948,Location 948,5,2,3.22,54.5,5,3,327.0,77.5,3,169,2
949,Location 949,18,4,11.68,52.1,2,4,252.12,83.1,2,642,3
950,Location 950,10,3,1.74,85.4,1,4,313.94,72.7,3,531,2
951,Location 951,22,4,29.49,77.6,6,4,276.66,64.7,3,336,6
952,Location 952,21,2,6.19,51.0,5,3,372.5,88.6,3,513,1
953,Location 953,6,2,43.78,62.0,5,1,355.91,78.5,1,130,6
954,Location 954,1,1,26.63,36.7,1,4,271.75,85.8,2,539,4
955,Location 955,5,5,35.28,92.9,5,1,342.66,77.9,1,514,4
956,Location 956,9,4,21.13,95.5,3,2,438.04,83.2,2,250,4
957,Location 957,12,1,28.47,98.6,5,1,221.81,61.8,1,138,2
958,Location 958,26,5,47.19,90.8,3,1,212.25,59.1,1,275,5
959,Location 959,14,4,5.05,42.2,2,4,384.48,95.0,3,464,2
960,Location 960,2,3,13.44,33.2,2,5,295.45,82.3,3,141,1
961,Location 961,17,4,39.22,70.6,4,5,44.79,55.2,1,256,2
962,Location 962,14,2,5.84,93.9,3,3,447.13,87.4,2,456,4
963,Location 963,26,2,4.71,42.4,6,3,25.08,56.0,2,434,3
964,Location 964,13,3,18.72,30.5,2,5,376.71,95.0,3,607,1
965,Location 965,9,1,5.52,86.4,5,2,381.81,75.5,3,173,6
966,Location 966,26,5,29.67,35.4,1,4,477.02,95.0,2,473,3
967,Location 967,25,4,12.09,59.0,1,4,36.53,55.2,2,423,1
968,Location 968,15,2,44.89,77.5,7,2,302.46,67.6,2,439,1
969,Location 969,25,1,39.39,46.6,3,2,219.64,68.3,3,57,4
970,Location 970,22,3,35.29,35.9,6,5,172.01,71.3,2,498,6
971,Location 971,15,2,31.23,83.9,4,3,54.26,50.4,3,614,2
972,Location 972,24,3,43.31,74.1,5,2,285.7,72.1,1,169,6
973,Location 973,11,4,11.93,99.2,3,3,244.73,69.1,1,582,4
974,Location 974,16,5,43.78,54.1,7,1,61.23,57.8,1,561,4
975,Location 975,17,2,39.69,34.3,1,4,310.12,89.4,2,428,4
976,Location 976,26,2,37.66,81.4,3,5,371.6,78.5,3,419,3
977,Location 977,4,4,28.5,66.5,5,4,385.97,86.0,2,347,6
978,Location 978,1,1,13.07,44.9,6,5,453.63,91.9,3,517,6
979,Location 979,8,5,21.75,84.7,6,1,210.64,63.3,2,455,1
980,Location 980,17,2,39.88,44.3,2,4,477.01,95.0,1,202,5
981,Location 981,3,5,2.56,48.2,5,1,434.06,92.3,3,179,2
982,Location 982,20,2,39.32,36.5,7,5,155.29,63.3,2,57,4
983,Location 983,15,5,12.76,58.0,2,2,88.05,60.1,3,698,6
984,Location 984,15,3,8.07,59.3,2,4,223.34,70.8,3,604,6
985,Location 985,24,2,6.67,66.0,2,1,206.93,74.0,2,501,1
986,Location 986,22,5,2.34,79.6,3,4,292.1,70.3,2,112,2
987,Location 987,14,1,26.66,93.4,7,4,295.86,61.2,3,148,5
988,Location 988,26,3,11.69,39.6,1,4,377.49,88.4,3,378,5
989,Location 989,23,3,49.48,33.8,6,3,259.85,85.8,1,348,4
990,Location 990,14,1,29.15,31.3,3,1,61.36,69.5,3,358,5
991,Location 991,24,5,7.76,40.1,1,1,430.56,95.0,1,56,5
992,Location 992,2,4,34.75,76.1,6,4,161.78,61.3,1,316,2
993,Location 993,13,1,44.99,80.9,7,2,485.94,85.8,1,185,2
994,Location 994,26,5,37.51,85.1,7,4,67.75,50.0,3,54,4
995,Location 995,14,1,4.75,47.1,5,3,479.54,95.0,1,37,6
996,Location 996,24,1,44.9,51.4,6,5,54.6,51.8,3,270,1
997,Location 997,19,2,39.9,63.8,6,3,123.21,61.0,3,508,4
998,Location 998,7,5,8.76,34.4,7,2,32.82,61.1,2,228,3
999,Location 999,3,4,3.54,72.8,6,4,355.51,75.6,3,428,5
1000,Location 1000,15,2,28.31,98.9,4,1,426.65,71.6,3,1,1
1001,Location 1001,23,1,8.65,55.3,5,4,222.69,71.6,1,23,6
1002,Location 1002,14,1,41.89,82.7,3,2,464.98,85.9,3,503,6
1003,Location 1003,11,1,18.56,65.0,3,1,299.25,77.0,3,448,2
1004,Location 1004,15,5,45.73,38.9,1,3,318.7,84.9,2,496,3
1005,Location 1005,13,5,28.72,70.8,3,5,424.26,88.5,2,425,6
1006,Location 1006,18,2,9.95,51.0,2,5,155.43,78.4,1,700,3
1007,Location 1007,26,4,7.84,32.4,6,4,183.59,77.5,1,18,5
1008,Location 1008,6,2,29.25,74.4,3,3,453.92,90.4,2,445,2
1009,Location 1009,3,3,38.33,90.1,1,2,451.47,89.4,2,561,1
1010,Location 1010,19,1,39.29,54.1,1,5,488.48,95.0,3,559,2
1011,Location 1011,15,1,14.51,57.3,2,3,451.9,95.0,1,627,5
1012,Location 1012,25,1,11.01,92.4,1,4,72.41,50.0,1,39,6
1013,Location 1013,23,2,1.82,87.0,7,1,413.62,75.8,3,210,3
1014,Location 1014,5,2,34.28,80.0,4,4,210.82,58.2,3,211,5
1015,Location 1015,10,1,4.75,47.4,7,4,495.49,95.0,1,565,6
1016,Location 1016,7,2,21.62,93.7,6,3,241.42,60.1,2,281,4
1017,Location 1017,25,5,30.48,40.8,6,5,281.38,79.7,2,133,3
1018,Location 1018,17,5,46.92,73.9,6,3,269.59,63.7,3,449,5
1019,Location 1019,7,2,16.28,32.0,5,1,167.65,77.7,1,264,1
1020,Location 1020,22,1,13.24,75.1,3,3,46.76,50.0,3,111,1
1021,Location 1021,26,2,33.05,49.4,4,2,448.87,95.0,2,555,6
1022,Location 1022,12,2,31.34,61.5,3,4,403.31,85.5,2,238,6
1023,Location 1023,25,2,17.27,54.2,4,5,78.37,58.9,3,457,1
1024,Location 1024,17,3,46.48,42.1,3,1,390.62,92.9,2,516,4
1025,Location 1025,13,5,42.4,73.5,2,4,316.66,76.2,1,173,2
1026,Location 1026,20,4,11.98,91.7,7,3,210.48,52.5,3,193,1
1027,Location 1027,25,4,12.72,97.1,1,2,134.47,50.6,3,515,6
1028,Location 1028,4,3,26.1,43.5,1,3,431.27,95.0,3,568,6
1029,Location 1029,10,2,38.91,80.2,7,4,353.09,74.0,2,409,4
1030,Location 1030,3,3,3.16,76.5,2,1,278.39,82.2,1,688,1
1031,Location 1031,9,3,34.97,54.0,4,5,308.69,86.5,3,628,4
1032,Location 1032,13,1,32.76,31.3,7,4,54.62,56.9,3,84,1
1033,Location 1033,18,5,12.34,78.3,5,1,242.22,75.1,2,671,2
1034,Location 1034,15,4,34.39,96.2,4,4,104.91,50.0,1,80,5
1035,Location 1035,4,2,47.07,74.2,1,2,112.11,59.0,3,578,1
1036,Location 1036,15,4,3.29,60.5,5,3,334.04,77.0,2,209,5
1037,Location 1037,22,4,16.66,66.8,3,5,456.52,92.9,3,522,1
1038,Location 1038,2,5,22.47,44.0,5,1,207.84,74.0,2,199,2
1039,Location 1039,15,4,45.06,82.5,4,5,111.8,55.5,1,571,6
1040,Location 1040,8,4,48.15,82.2,2,5,327.89,70.6,2,234,5
1041,Location 1041,8,3,22.76,40.2,3,5,436.88,95.0,3,244,4
1042,Location 1042,17,5,37.75,91.5,4,1,376.68,76.7,3,393,1
1043,Location 1043,12,1,27.05,48.8,3,1,435.69,95.0,2,566,6
1044,Location 1044,19,2,27.35,98.8,5,5,272.91,72.9,1,446,1
1045,Location 1045,10,4,14.63,56.8,1,3,378.42,89.8,1,393,4
1046,Location 1046,9,2,11.63,42.5,4,4,78.63,59.8,3,9,2
1047,Location 1047,5,1,15.11,54.6,2,5,180.65,70.4,3,613,3
1048,Location 1048,6,2,28.26,60.8,7,2,200.88,62.9,2,153,1
1049,Location 1049,20,1,2.43,34.9,5,5,260.53,82.2,2,110,4
1050,Location 1050,26,3,45.46,70.5,4,1,465.25,87.0,2,266,3
1051,Location 1051,2,4,8.66,71.8,2,4,438.41,92.7,1,373,1
1052,Location 1052,24,1,11.78,81.7,4,2,75.92,53.4,1,152,5
1053,Location 1053,13,2,26.4,32.0,5,4,94.67,69.7,3,595,6
1054,Location 1054,6,4,35.8,67.9,4,4,185.24,63.2,3,415,6
1055,Location 1055,5,3,5.69,33.7,3,2,152.46,78.3,3,646,4
1056,Location 1056,25,4,16.57,79.1,5,5,311.24,71.3,2,326,5
1057,Location 1057,1,1,48.47,33.9,4,5,452.36,95.0,1,672,2
1058,Location 1058,21,3,13.85,93.8,7,5,481.52,82.9,3,551,3
1059,Location 1059,22,2,16.34,79.1,1,3,330.27,72.9,3,176,4
1060,Location 1060,21,3,41.99,65.5,4,5,420.7,86.1,3,525,1
1061,Location 1061,6,3,3.46,60.9,3,2,267.35,71.3,3,315,6
1062,Location 1062,6,5,23.77,39.1,2,3,112.08,61.7,3,67,1
1063,Location 1063,23,3,19.6,50.4,7,5,267.1,77.7,3,553,3
1064,Location 1064,16,3,16.51,90.8,2,3,281.99,67.2,1,184,5
1065,Location 1065,4,4,15.0,93.3,7,2,373.8,66.8,3,35,5
1066,Location 1066,11,2,5.48,30.1,2,5,117.74,80.1,1,505,4
1067,Location 1067,24,4,16.43,71.6,1,1,190.47,64.8,2,76,4
1068,Location 1068,23,4,3.11,80.4,3,2,188.37,67.7,1,472,5
1069,Location 1069,9,1,39.27,73.3,5,4,480.13,95.0,2,582,4
1070,Location 1070,23,4,20.51,35.7,2,4,227.53,89.8,1,523,5
1071,Location 1071,3,5,22.75,45.2,7,2,380.0,90.7,1,283,3
1072,Location 1072,19,5,44.79,47.5,3,4,377.9,90.4,3,536,4
1073,Location 1073,8,1,33.24,88.2,4,2,140.12,58.2,1,274,5
1074,Location 1074,5,2,1.39,62.4,1,1,290.22,82.2,1,539,4
1075,Location 1075,4,2,47.22,64.1,3,2,448.21,85.3,3,54,1
1076,Location 1076,24,4,12.62,95.4,3,5,242.85,60.5,2,55,6
1077,Location 1077,6,4,6.27,74.6,5,5,473.11,87.7,3,277,1
1078,Location 1078,2,4,38.64,92.9,3,3,115.08,53.0,3,443,2
1079,Location 1079,20,2,25.52,62.0,5,4,46.34,51.2,3,418,5
1080,Location 1080,11,3,22.25,40.5,1,4,446.81,95.0,2,632,2
1081,Location 1081,4,5,13.23,95.1,1,2,425.36,82.7,1,225,5
1082,Location 1082,15,3,27.83,62.1,4,4,496.37,95.0,1,570,6
1083,Location 1083,6,3,14.44,42.7,5,5,342.9,84.6,3,255,4
1084,Location 1084,22,2,45.18,51.2,5,1,468.98,88.6,3,176,5
1085,Location 1085,17,3,11.55,33.6,2,2,415.21,95.0,1,566,1
1086,Location 1086,24,1,44.33,62.8,2,4,423.77,89.7,1,146,4
1087,Location 1087,6,4,28.41,89.7,4,5,288.88,75.0,1,664,6
1088,Location 1088,19,1,41.6,95.4,1,3,197.36,60.0,2,385,1
1089,Location 1089,25,5,35.93,95.3,6,4,467.93,78.1,2,262,4
1090,Location 1090,2,4,35.14,38.8,2,1,221.74,77.5,3,531,5
1091,Location 1091,15,3,16.89,56.7,3,1,274.02,74.9,2,371,5
1092,Location 1092,11,5,12.46,32.0,1,4,228.6,83.3,3,683,1
1093,Location 1093,8,4,11.33,89.9,6,4,286.76,68.1,1,197,3
1094,Location 1094,26,3,43.0,55.1,3,5,240.55,76.4,1,585,5
1095,Location 1095,19,1,41.2,74.2,7,4,33.5,50.0,3,597,3
1096,Location 1096,13,4,22.59,80.0,5,3,442.2,90.5,1,284,4
1097,Location 1097,12,3,7.49,60.1,1,5,227.75,70.7,3,302,3
1098,Location 1098,5,1,19.73,51.5,7,2,298.58,71.2,3,132,1
1099,Location 1099,6,5,31.35,97.4,4,3,78.2,50.0,3,120,2
1100,Location 1100,26,5,23.27,97.5,5,5,11.66,50.0,2,136,2
1101,Location 1101,22,5,39.23,50.3,5,5,130.19,69.2,3,628,1
1102,Location 1102,4,5,49.88,63.6,3,1,355.25,84.3,3,573,2
1103,Location 1103,19,2,10.37,98.1,7,5,58.61,50.0,3,529,1
1104,Location 1104,20,4,23.52,30.3,5,3,455.35,94.3,2,34,5
1105,Location 1105,1,4,22.12,58.9,2,4,115.36,68.0,1,532,3
1106,Location 1106,20,2,15.92,37.0,1,3,110.25,65.2,2,208,2
1107,Location 1107,17,3,10.71,65.6,2,2,98.94,60.6,3,674,5
1108,Location 1108,12,3,4.22,31.7,3,5,16.85,65.4,2,299,2
1109,Location 1109,15,5,44.47,58.5,6,5,388.18,85.0,1,522,4
1110,Location 1110,1,1,21.57,45.4,3,5,438.77,95.0,1,94,1
1111,Location 1111,26,3,25.35,67.3,1,5,310.94,76.9,3,414,1
1112,Location 1112,14,1,45.93,99.7,5,1,102.22,50.8,1,371,5
1113,Location 1113,6,4,39.04,86.0,7,1,149.79,54.7,2,409,4
1114,Location 1114,5,1,7.39,89.2,7,4,243.2,61.0,2,383,3
1115,Location 1115,11,4,28.71,74.5,4,5,477.63,95.0,1,441,4
1116,Location 1116,4,2,22.67,32.9,3,2,131.2,78.7,3,447,4
1117,Location 1117,13,2,40.06,44.5,1,4,368.51,88.6,3,619,6
1118,Location 1118,11,5,36.49,94.8,4,5,225.33,66.1,2,617,3
1119,Location 1119,3,3,34.83,55.6,5,1,155.95,68.1,1,71,3
1120,Location 1120,1,5,17.69,37.3,6,2,233.4,71.6,2,84,4
